"sigma1","iota1","sigma2","iota2","sigma3","iota3"
0.51,0.07,0.867390923627309,0.723660254037844,0.122609076372691,0.706339745962156
0.52,0.07,0.862390923627309,0.732320508075689,0.117609076372691,0.697679491924311
0.53,0.07,0.857390923627309,0.740980762113533,0.112609076372691,0.689019237886467
0.54,0.07,0.852390923627309,0.749641016151378,0.107609076372691,0.680358983848622
0.55,0.07,0.847390923627309,0.758301270189222,0.102609076372691,0.671698729810778
0.56,0.07,0.842390923627309,0.766961524227066,0.0976090763726914,0.663038475772934
0.57,0.07,0.837390923627308,0.775621778264911,0.0926090763726914,0.654378221735089
0.58,0.07,0.832390923627309,0.784282032302755,0.0876090763726914,0.645717967697245
0.59,0.07,0.827390923627309,0.792942286340599,0.0826090763726914,0.637057713659401
0.6,0.07,0.822390923627309,0.801602540378444,0.0776090763726914,0.628397459621556
0.61,0.07,0.817390923627309,0.810262794416288,0.0726090763726914,0.619737205583712
0.62,0.07,0.812390923627309,0.818923048454133,0.0676090763726914,0.611076951545867
0.63,0.07,0.807390923627309,0.827583302491977,0.0626090763726914,0.602416697508023
0.64,0.07,0.802390923627309,0.836243556529821,0.0576090763726914,0.593756443470179
0.65,0.07,0.797390923627309,0.844903810567666,0.0526090763726914,0.585096189432334
0.66,0.07,0.792390923627309,0.85356406460551,0.0476090763726914,0.57643593539449
0.67,0.07,0.787390923627309,0.862224318643355,0.0426090763726914,0.567775681356645
0.68,0.07,0.782390923627309,0.870884572681199,0.0376090763726914,0.559115427318801
0.69,0.07,0.777390923627309,0.879544826719043,0.0326090763726914,0.550455173280957
0.7,0.07,0.772390923627309,0.888205080756888,0.0276090763726914,0.541794919243112
0.71,0.07,0.767390923627309,0.896865334794732,0.0226090763726914,0.533134665205268
0.72,0.07,0.762390923627309,0.905525588832577,0.0176090763726914,0.524474411167424
0.73,0.07,0.757390923627309,0.914185842870421,0.0126090763726914,0.515814157129579
0.74,0.07,0.752390923627309,0.922846096908265,0.00760907637269143,0.507153903091735
0.75,0.07,0.747390923627309,0.93150635094611,0.00260907637269142,0.49849364905389
0.23,0.08,0.998730669589464,0.476173140978202,0.271269330410536,0.943826859021798
0.24,0.08,0.993730669589464,0.484833395016046,0.266269330410536,0.935166604983954
0.25,0.08,0.988730669589464,0.49349364905389,0.261269330410536,0.92650635094611
0.26,0.08,0.983730669589464,0.502153903091735,0.256269330410536,0.917846096908265
0.27,0.08,0.978730669589464,0.510814157129579,0.251269330410536,0.909185842870421
0.28,0.08,0.973730669589464,0.519474411167424,0.246269330410536,0.900525588832576
0.29,0.08,0.968730669589464,0.528134665205268,0.241269330410536,0.891865334794732
0.3,0.08,0.963730669589464,0.536794919243112,0.236269330410536,0.883205080756888
0.31,0.08,0.958730669589464,0.545455173280957,0.231269330410536,0.874544826719043
0.32,0.08,0.953730669589464,0.554115427318801,0.226269330410536,0.865884572681199
